week,last_date_of_week,demand_GW
1,2020-01-05,31354.884
2,2020-01-12,33605.2068
3,2020-01-19,34165.1002
4,2020-01-26,36597.004
5,2020-02-02,33075.7386
6,2020-02-09,33394.2118
7,2020-02-16,33325.5432
8,2020-02-23,32222.2897
9,2020-03-01,33445.939
10,2020-03-08,33932.9375
11,2020-03-15,31203.7827
12,2020-03-22,30993.5109
13,2020-03-29,27190.6275
14,2020-04-05,26897.9936
15,2020-04-12,23686.0074
16,2020-04-19,23591.2956
17,2020-04-26,23091.0392
18,2020-05-03,25122.7505
19,2020-05-10,22711.372
20,2020-05-17,23546.7505
21,2020-05-24,22535.4291
22,2020-05-31,21560.314
23,2020-06-07,23328.2232
24,2020-06-14,24398.9643
25,2020-06-21,24479.8943
26,2020-06-28,23791.6245
27,2020-07-05,24793.7232
28,2020-07-12,25264.3368
29,2020-07-19,25549.5377
30,2020-07-26,24973.6349
31,2020-08-02,24468.8844
32,2020-08-09,25013.003
33,2020-08-16,27008.2039
34,2020-08-23,25025.8492
35,2020-08-30,25667.9449